review_title,review_details,customer_name,review_timestamp,row_id,sentiment,categories,keywords,summary
Ripped off again,Ripped off againMcDonald’s is one big ripoffAlways crap missing from my ordersThey only get it right 10% of the timeWhy can’t you train you staff to do there job rightMCDONALDS GET YOUR CRAP TOGETHERYOU MUST SAVE MILLIONS RIPPING US OFFTHANKS ANDY B,andras,6mo,98,negative,Order Accuracy | Staff Behavior,ripped off repeatedly | missing items constantly | only 10% success rate | staff training issue,Orders consistently incomplete; staff fail to fulfill orders correctly 90% of the time.
staff dont give a rats about custermers,"staff dont give a rats about custermersPortland vic.3305 ,Lady in front waiting to be surved over 10 minutes and walked out, I waited 15 minutes and walked out,staff dont care and i wont be back, went down the other shop, my friends will go there also.",Bob M.,6mo,99,negative,Service Speed | Staff Behavior,10-15 minute wait | staff indifferent | customer walked out | poor service,Excessive wait times and indifferent staff caused customer to leave without service.
Ripped of with my orders,Ripped of with my ordersWhy does McDonald’s rip you off at their drive thru and take away service? Who checks the bags before they are handed to the customer? Why do we need to come back in or drive back when it’s wrong? How much money are you making on not giving customers what they ordered? You need to pick up your service especially your Eagle Vale and Woodbine stores,Sonia J.,6mo,100,negative,Order Accuracy | Drive-Thru Experience | Service Speed,ripped off | wrong orders | missing items | poor service,Customer reports consistent order errors at drive-thru and inadequate service recovery.
"Disgusting food, disgusting service, order wrong","Disgusting food, disgusting service, order wrongConstantly ripping people off. Complaints team don’t take complaints seriously. The Food is disgusting, never made properly. Cheeseburger meant to have pickle and onion. (Only does if the teenager feels like putting it on it) but you pay for the full price. Nuggets pack always missing nuggets, Ask for soy milk. Pay for soy milk but get full cream that makes you sick. Costs a fortune, staff are rude, management are rude and shout at customers. They don’t serve the elderly, they ignore them until t... Read morehey can figure out the self serve or walk out. They just don’t care like they used to. I won’t be back. Maccas is boycotted in my house. Given them so many chances to improve. But they just don’t take the service and food preparation seriously.",M J.,6mo,101,negative,Food Quality | Order Accuracy | Staff Behavior | Price Value,wrong orders | missing ingredients | rude staff | poor food preparation | charges not matched,"Multiple complaints about incorrect orders, poor food quality, rude staff, and unfair pricing."
Rocklea Qld store,"Rocklea Qld storeRocklea store needs to get their staff trained and actualy serve customers in a timely manner, on Sunday 22/6/24 we walked in to dine in and was served by a young lady, we orderd our meal, noticing another customer seemigly getting adgitated waiting for her order. We sat down to waited for our number 195 to be called, and 25 minutes had passed with waiting, with the staff calling out numbers in the 200's, and about 12 custoemrs standing near counter waiting for their orders, One maccas staff an asian young guy was at the foo... Read mored burger shoot, shoving burgers in bags, and then dumping them near the fries/ hash brown oven, another young lady, an employee was contstantly sneezing over everything and wiping her nose with her hand, common manager get your staff sorted, the lady who was seeminlgy waiting prior to us arriving in store, spoke to htem anager and still had to wait anohter 10 or so minutes, we demanded a refudn and walked out, toast and a cuppa at home is cheaper and easier. Funny though, when we demanded our money back, oh but your order is ready, yeh no, not with your workers snot all over it.",Paula,6mo,102,negative,Service Speed | Cleanliness | Staff Behavior,slow service | 25-minute wait | unhygienic staff | poor management,"Extreme wait times, unhygienic food handling, and poor staff conduct led to refund demand."
Big Fail for a Big Mac. In Bendigo,Big Fail for a Big Mac. In BendigoPlease look at the pictures. It is a total disgrace in every way in regards to a Big Mac from Strath Village Bendigo. Look how thin the patties are in the pics. Is there any kind of quality control at McDonalds Strath Village? I doubt it. Tiny cold disgrace how can you call this a burger in any way? It was a total rip off. Seriously are Big Macs like that now? I will never order from this place again.,Gbanger,6mo,103,negative,Food Quality | Food Temperature | Price Value,thin patties | cold burger | poor quality control | expensive,"Big Mac had thin patties and was served cold, perceived as overpriced for quality offered."
SHOCKING CONTEMPT FOR THEIR CUSTOMERS,"SHOCKING CONTEMPT FOR THEIR CUSTOMERSI would have provided a negative 100 stars rating if this were an option.I purchased two separate coffees from two separate McDonald's drive throughs over the course of a couple of weeks.In BOTH instances, the bottom of the coffee cups split at the base, and hot coffee poured all over my silk clothing, car interior and in the second instance, my antique persian rug.I emailed McDonald's photographic evidence of this in the second instance, and asked what they would do to compensate me.Thus ensued th... Read moree most maddening, disrespectful and arduous email exchange I have encountered perhaps in my lifetime, now over one month long. To make a long story short, they couldn't give a toss about any of it, they keep passing the buck, telling me they will ""investigate with suppliers"" (why? This isn't CSI, I've sent evidence of the split McDonald's cup. That's all you need), they keep asking me circular questions, they fail to respond for days or weeks at a time, while I always respond promptly. This is a level of contempt for their customers that is beyond shocking and unacceptable for a multinational corporation. Get your act together, McDonald's.",Truth Bombs,6mo,104,negative,Equipment Availability,defective cups | spilled coffee | property damage | poor complaint handling,Faulty coffee cups caused damage; company showed contempt in handling compensation complaint.
"No bacon in egg and bacon McMuffin, just ham?","No bacon in egg and bacon McMuffin, just ham?Just had a egg and bacon McMuffin with a piece of ham instead of bacon, what ever happened to value for money, should be re named, 'don't give a damn McMuffin', just give me your money!",Julie reason,6mo,105,negative,Order Accuracy | Price Value,ham instead of bacon | missing ingredient | no value for money,Egg and bacon McMuffin contained ham instead of bacon despite full price charge.
Quick and heated,Quick and heatedQuick. And hot takeoutNew menu limited timeNight shift crew,Sarah D.,6mo,106,positive,Service Speed | Food Temperature,quick service | hot food | night shift crew,"Quick service with hot takeout items, positive note about night shift crew."
McDonald's restaurant customer service going downhill at fast pace,"McDonald's restaurant customer service going downhill at fast paceI have noticed that in the last 10 months the quality of service at several McDonald's Restaurants has gone down from 6 to 1. The operators are incompetent as they get the order right 4 out of 10 times so you have to ask them to change it and some times they change it to more wrong rather than right, and then the people who are completing the order they get it wrong 8 out of 10 times. In addition to the fact that they get the order wrong through the whole processing channels, the... Read morey lie about it, they become rude and offensive trying to blame you for them getting the wrong order. However, the most ridiculous things are when they cannot find what you want on their computer and their response has always been we run out of it. A typical example of a stupidity that has gone way beyond imagination is when you order a long black in a small cup. The first question is :""what size would you like?"" and the second most interesting question is : ""what type of milk would you like?"". This has happened on at least 7 occasions in the last 6 weeks. Don't bother to ask for a sweetener if you are diabetic because the answer has been 9 out of 10 times :""What was that? or ""We run out of it"". On 8 out of 10 times, the operator could not find the right button to press and the answer was ""I will tell them to do it"" but this never happens. Don't bother to check your order by asking them if they have done what you ordered as they lie 10 out of 10 times. The most offending locations are Arndell Park and Glenmore Park, and to less extent Westmead. People, get more training, learn the key words that you need for your job, be honest (don't lie), listen while the customer is speaking to you because if you speak on top of the customer you can't hear what they are ordering, be respectful (don't be rude and offensive especially if you are wrong) and most importantly don't hang up on the customers as they trying to help you get the order right.",Nicolaki,6mo,107,negative,Order Accuracy | Staff Behavior | Service Speed,frequent order errors | rude staff | staff incompetence | poor training,"Persistent order mistakes, rude staff responses, and poor training across multiple locations."
Terrible,TerribleWe went in to use the ladies toilets and there was puke in them so we told a worker and no one went to clean it all up even while we were eating our meals in fact the tables all had rubbish left on them and spills all over floorGO TO A DIFFERENT STORE,Jasmine S.,6mo,108,negative,Cleanliness | Staff Behavior,dirty toilets | vomit | uncleaned tables | poor maintenance,Unhygienic facilities with vomit in toilets and dirty tables; staff failed to clean.
Last time,Last timeGot cold fries and burger. Asked to replace fries. They replaced with a more cold fries. Went back to counter. No apology.,Simon T,6mo,109,negative,Food Temperature | Order Accuracy | Staff Behavior,cold fries | cold burger | replacement failed | no apology,Cold food replacement was also cold; staff provided no apology or resolution.
Inedible fries,Inedible friesThe quality of McDonald's is just getting worse & worse just ordered 2 quater pounder meals though Menulog as usual these days the burgers were just slapped together like a 1 year old kid made them & the fries were obviously left over from the previous days shift stone cold & dry like they were swept up of the floor we ordered just when the breakfast menu closed & our order was delivered quickly so the fries should have been fresh for that days shift we couldn't eat them no one did.,Michael,6mo,110,negative,Food Quality | Food Temperature | Order Accuracy,inedible fries | stone cold and dry | burgers slapped together | leftover from previous shift,"Fries were stale and cold, burgers poorly assembled despite quick delivery timing."
not very good,"not very goodwent to McDonalds in Ingleburn , went to the gents toilet and had seen no toilet paper and it was very dirty and hand dryer was all so very dirty then the front Counter was not clean and all so table's need cleaning all so the floor and some seat, other that that the food was ok and the coffee was good",Henk,6mo,111,negative,Cleanliness | Staff Behavior,no toilet paper | very dirty bathroom | dirty hand dryer | uncleaned counter and tables,Bathroom and front counter extremely dirty; food and coffee were acceptable.
Wetheril park macs is terriableservice,Wetheril park macs is terriableserviceCouldn't wait any longer to be served. Very very disappointing.,jenniferlynncairncross,6mo,112,negative,Service Speed,couldn't wait to be served | very disappointing | long wait,Excessive wait time made service experience very disappointing.
It’s not fair service,"It’s not fair serviceWe ordered three chicken nuggets a cheese burger and three m&m mcflurries one was fine the other two were lucky to be half filled so I took them back in & was told that head office said they were on,y to be three quarters filled I said that was not fair value so the lady made another two & gave them to me & yep three quarters full barely. This not the first time this has happened as once before we had ordered mcflurries & didn’t check them until after we left & found that they weren’t even half full & as we had left the premises we felt we couldn’t return them. The next time we come to Yarrawonga we won’t be going there.",margaret727,7mo,113,negative,Portion Size | Price Value,mcflurries half filled | not fair value | three quarters full | recurring issue,McFlurries consistently underfilled; management refused fair portion correction.
Bathroom Praise,"Bathroom PraiseHeatherbrae Maccas,cleanest bathroom ever on 19/6/24.Well done, thank you for the care taken",Karen ross,7mo,114,positive,Cleanliness,cleanest bathroom ever | care taken | well done,Bathroom was exceptionally clean and well-maintained.
Why bother when we know the outcome at maccas,"Why bother when we know the outcome at maccasI’ve just been to Maccas at Vaughn st l, Berela. I get that maccas is a convenience food but this was arguably a zero star rating. The only positive was the water bottle. It’s hard to screw that up. Ordered a double fillet meal and a cheeseburger drive through and attempted to consume the food in the car within 2 minutes of getting it. The fillet was 2 soggy bits of bread with a couple of drops of sauce. Tasted like days old fish, cheeseburger was worse and the chips must have sat there for hours bef... Read moreore being sold.ate a couple of the fries and threw the rest out. I dont care about the size or the supposedly premium food quality, as we all know by the pictures it’s all marketing fluff but the food needs to at least be edible and hot. Never again!",JPK,7mo,115,negative,Food Quality | Food Temperature | Order Accuracy,soggy bread | tasted like days old fish | cold food | inedible,"Food was cold, stale, and inedible despite being served within minutes."
Sorry,"SorryI’m sorry McDonald’s, I’m one with your food I got a bit angry when my driver ate my Mc nuggets, please keep making me burgers",Sally P.,7mo,116,mixed,Order Accuracy,driver ate mcnuggets | apologizing | still enjoys burgers,Customer blames delivery driver for eating order but remains loyal to McDonald's.
NO EXTRA PATTY... NO EXTRA CHEESE,"NO EXTRA PATTY... NO EXTRA CHEESEDrive through...I ordered Extra Meat Patty and Extra Cheese... Got home...NO EXTRA PATTY...NO EXTRA CHEESE...AGAIN... HAPPENS EVERY TIME... STOP GOING TO MACCAS ROCKDALE!!!Why can Maccas Rockdale Plaza, Bexley and other Maccas get it right....",John_Young,7mo,117,negative,Order Accuracy,no extra patty | no extra cheese | happens every time | recurring problem,Extra meat and cheese ordered but consistently not included despite multiple visits.
Getting smaller and smaller,Getting smaller and smallerI give it a 3* but only because I like their burgers. However the size of everything is shrinking except the prices! I remember when a big Mac was exactly that - BIG! But not anymore. Their burgers and fries are getting smaller and smaller. But their prices are increasing. Their ice-cream is also funky tasting these days. MacDonald's really needs to wake up before they lose even more customers and have to go out of business!,Jen X.,7mo,118,negative,Portion Size | Price Value | Food Quality,getting smaller | prices increasing | shrinking portions | funky ice-cream taste,Portions shrinking while prices rise; quality declining across menu items.
Stupid people,Stupid peopleIt’s not good advertising to show people who buy macdonalds are stupid. Shame on you Macdonalds.,Rustynail,7mo,119,negative,,stupid advertising | poor representation | shameful,McDonald's advertising portrays customers negatively as stupid.
Waited 30 mins for fries,"Waited 30 mins for friesThe worst Mcdonald's franchise ever in my opinion, is Maccas Mooroolbark. Just don't bother going. People wait for 30 mins without being served.",Cielo L.,7mo,120,negative,Service Speed,waited 30 minutes | not served | worst franchise,Customers waited 30 minutes without being served at this McDonald's location.
Traumatic experience,Traumatic experienceConsistently bad dine in experience.Long waiting times.Order items missing.Spoon missing (was told to use a fork for ice cream Sundae).Order machines always out of paper and does not display your order number longer than a microsecond.Disrespectful staff.,AHL,7mo,121,negative,Service Speed | Order Accuracy | Staff Behavior | Equipment Availability,long waiting times | missing items | disrespectful staff | order machines broken,"Consistently poor dine-in experience with long waits, missing items, broken machines, and disrespectful staff."
Very disappointing,Very disappointingOrdered a barbecue Angus burger. It was so disgusting I threw it in the bin. It was dry and the bacon was like leather and there was no cheese. The chips were cold and limp and inedible. As a long time customer I will refrain from purchasing again.,Gail D,7mo,122,negative,Food Quality | Food Temperature,dry burger | leather bacon | no cheese | cold limp chips,Burger was dry and inedible with missing cheese; chips were cold and limp.
Review,ReviewThey are friendly and are always making sure you got what you wanted,Charlotte O.,7mo,123,positive,Staff Behavior,friendly staff | ensuring customer satisfaction,Staff are friendly and ensure customers received their correct orders.
Unprofessional crew member at breakfast,Unprofessional crew member at breakfastThis is my 4th review I placed online for McDonalds in Ellenbrook Promenade. When breakfast muffins are wrapped no care is given either not wrapped now today the crew member didn’t bother placing the top of the muffin as per attached photo. The OJ again diluted just handing out orange water.,Susan,7mo,124,negative,Order Accuracy | Staff Behavior,breakfast muffin not wrapped properly | diluted orange juice | unprofessional crew,Muffin improperly wrapped and orange juice diluted due to unprofessional crew member.
The worst Maccas,"The worst MaccasThis review is for McDonalds Templestowe Lower. If @Jeff thinks Morley's Maccas is bad, wait till he comes to Melbourne and experience the utter rubbish Templestowe Lower dishes out on a consistent basis. The amount of time food has been left off my order is astonishing and it almost seems like the staff there either cannot read, can't be bothered, or both. Ask any Uber driver and they will tell you this outlet is slow and most staff members are rude.",Matthew L.,7mo,125,negative,Order Accuracy | Service Speed | Staff Behavior,missing items from orders | slow service | rude staff,Consistently slow service with missing items and rude staff members.
beautifullllll,beautifullllllThe other day i was served by a wonderful girl by the name of Leah she is an amazing employee and gave our food cooked perfectly and deserves a raise!! and deserves extra shifts super friendly worker,Alexis P.,7mo,126,positive,Food Quality | Staff Behavior,wonderful employee Leah | perfectly cooked food | super friendly,Employee Leah provided perfect food service with excellent friendliness and care.
Un hygienic,Un hygienicCold stale chips. unwrapped wraps so all the stuffing fell out. Toilets very dirty and the table tops too. Staff on mobile phone near food preparing station. At Modbury SA,Rosanna V.,7mo,127,negative,Food Quality | Cleanliness | Food Temperature,cold stale chips | unwrapped wraps | dirty toilets | unhygienic staff behavior,"Cold stale chips, unwrapped wraps, dirty facilities, and unhygienic staff practices."
McSpicy not upto the mark,McSpicy not upto the markFiesty McSpicy burger just had hot chilli sauce in it rather than the chicken cooked in hot spices,Bensheba D,7mo,128,negative,Food Quality | Special Items,McSpicy inadequate | only chilli sauce | not properly spiced,McSpicy burger had only hot chilli sauce instead of properly spiced chicken.
"Thin, dry almost tasteless beef patties","Thin, dry almost tasteless beef pattiesWhether it's a big mac or a grand big mac as I had today the biggest problem is how thin the beef patties are. They are so thin these days that they come out dry and almost tasteless. Big mac patties used to be thick and juicy with loads of delicious flavour that you couldn't wait until your next one. Now they are just mediocre because all McDonald's are thinking about is profits and how quickly they can cook these thin patties without realising we would all prefer thicker, juicier better tasting patties. ... Read moreUnfortunately this attitude will be their downfall in the future as there are so many other places to get a ""decent"" burger nowadays. I used to love eating McDonald's but it's just so disappointing now. If these new thin patties are their standard now I really don't see the point eating Mcdonalds anymore, in fact I won't be unless they revert back to thick juicy patties. I can't imagine this ever happening so I won't be coming back again",John,7mo,129,negative,Food Quality | Price Value,thin dry beef patties | tasteless | quality decline | no longer juicy,"Beef patties are too thin and dry, lacking the flavor and quality of past versions."
Morley Perth,Morley PerthMorley PerthI have been a few times to this way understaffed storeThe level of apathy is ridiculous.Is this the worst store in au to carry the banner.The apathy comes from managers and the franchise owner .It is in a commercially active area but I would really like to see the dog owners go bankrupt for the lowest standard of food providence and the highest level of apathy to the customer.McDonald’s have taken the title of lowest standard fast food with no care for the consumer .I hope the business suffers under f... Read moreood standards but we are in Straya. The capital of crappery . McDonald’s symbolises the lowest standard of food production and just reflects where Australians are mentally .. In the gutter at the lowest common denominator. Thankyou McDonald’s Morley,Jeff,8mo,130,negative,Food Quality | Staff Behavior,understaffed store | apathy from managers | lowest standard food | no customer care,"Severely disappointed with understaffed location, managerial apathy, and poor food standards."
"Poor , very robotic","Poor , very roboticMy wife and myself ordered classic Angus meals, the burgers were Luke warm to cold. I ordered a salad, was just lettuce and cucumber, no tomatoes were included. Again there was no paper in the epfos console. The chocolate m flurries were half full",Allen10,8mo,131,negative,Food Quality | Food Temperature | Order Accuracy,lukewarm burgers | incomplete salad | half-full flurries | missing paper in console,"Multiple issues: cold burgers, incomplete salad, half-filled drinks, and missing console paper."
RIP OFF,"RIP OFFtoo expensive, you paying $20 for the worst meal on the planet, go to a pub and pay 24-28 for a parma and chips",thorax999,8mo,132,negative,Price Value | Food Quality,too expensive | worst meal | $20 price | poor value,Overpriced meal quality compared to better value pub alternatives at similar cost.
Absolutely disgusted,"Absolutely disgustedI wouldnt even give one star. I ordered dinner through Uber Eats for $60. I received a third of my order, no fries in any meals. 3 happy meals missing sauces and fries and big Mac meal had no drink or fries. Big Mac was small instead of grand. I was told by maccas if I reordered something then they'd replace the missing items. What a joke. Stay away from this store, it sucks your money away, leaves u without dinner and then won't rectify the problem. NEVER AGAIN.",Kylie,8mo,133,negative,Order Accuracy | Delivery Service,third of order missing | no fries included | missing sauces | refused replacement,"Delivery order severely incomplete; missing fries, sauces, and drinks; store refused to rectify."
Airlie Beach Maccas is awesome,"Airlie Beach Maccas is awesomeAirlie Beach McDonalds was clean, quick and yummy. The staff were wonderful. An elderly European couple came in and the girl helped them with the order board, she was so polite and patient with them. When we ordered the girl had a beautiful smile and was so pleasant and helpful. I can't recommend enough, not like the nightmare McDonalds Childers - but that's another review",Lisa,8mo,134,positive,Cleanliness | Service Speed | Staff Behavior | Food Quality,clean restaurant | quick service | polite staff | yummy food | pleasant smile,"Excellent experience with clean venue, fast service, and exceptionally helpful, friendly staff."
Allow Customers Recite The Big Mac Jingle,"Allow Customers Recite The Big Mac JingleThe latest Big Mac promotion by McDonald's is nothing short of disappointing and deceptive. Their TV commercial presents an enticing offer: recite the Big Mac ingredients jingle in 4 seconds at a McDonald's restaurant, and receive a complimentary small fries and Coke. As someone who has had the jingle memorized since the 1970s, I was eager to participate after half a century of anticipation.However, my excitement quickly turned to disillusionment upon further investigation. Instead of the expected inte... Read moreraction at the counter, I discovered that the promotion is entirely app-based. Rather than verbally reciting the jingle, customers are presented with a digital puzzle where they must rearrange text boxes representing the jingle in the correct order within a mere 4 seconds. This not only eliminates any human interaction but also feels like a deliberate attempt to mislead customers. McDonald's has essentially stripped away the essence of the promotion, denying customers the opportunity to engage in the nostalgic act of reciting the jingle aloud. It's baffling that in this age of advanced technology, they couldn't incorporate a simple recording feature into their app to allow customers to verbally participate. In essence, this promotion feels like a facade, promising one thing but delivering another entirely. McDonald's owes its customers transparency and authenticity, neither of which are present in this misleading campaign. It's a shame to see such a beloved brand resort to such tactics, tarnishing the fond memories many of us have associated with the Big Mac jingle.",Jath789,8mo,135,negative,Special Items,misleading promotion | app-based puzzle | false advertisement | no human interaction,Big Mac jingle promotion advertised as verbal recitation but actually requires app-based text puzzle.
Poor management,"Poor managementByford McDonald's have very poor management skills for all employees, I was given a position at there establishment which I was very happy about, but now I'm very disappointed in the service and treatment I lve been given, I have been ignored for weeks i have been asking when I would get shifts but no answer, it is utterly disrespectful towards people who are trying their hardest to find a job.",Guess,8mo,136,negative,Staff Behavior,poor management | no shift scheduling | ignored for weeks | disrespectful treatment,New employee received no communication about shifts and ignored by management for weeks.
This location need to smarten up,"This location need to smarten upWe recently stopped at McDonalds at Enfield SA after a long drive.We were going to have a quick breakfast.We both ordered pancakes with extra butter and two coffees.The restaurant wasn’t that busy seeing it was a week day.When our order arrived, I could hardly believe it. Not only were the pancakes cold but one of them was still frozen!!I took them to the counter and the girl said she would reheat them!!!There was no extra butter as requested!No apology.Then the coffee came and they were also cold!I sa... Read moreid to the attendant - what was happening? It wasn’t even busy! She apologised and said she would reheat to coffee. REHEAT / not make another one. This is the third time I have been to this particular outlet and the third time I have had inferior service. Most of the time the team members stand around joking with each other, and the customer is someone who spoils their conversation. I am not sure who the owner of this outlet is but they should know that this behaviour and product isn’t giving his business a very good name. I generally go to Collinswood in SA and have never had a problem there.",Isabelle Dabrowski,8mo,137,negative,Food Quality | Food Temperature | Order Accuracy | Staff Behavior,frozen pancakes | cold coffee | missing butter | no apology | staff inattentive,"Cold pancakes (one frozen), cold coffee, missing butter, poor staff attentiveness, no apologies."
Very very upset and out of $31.00,Very very upset and out of $31.00Contacted head office and they could not care. Contacted the store and a machine says I cannot leave a message. So store is uncontactable...........The MacDonalds operator was from the Philippines. I had to keep repeating myself....,benson420077,8mo,138,negative,Staff Behavior,lost money | uncontactable store | head office unhelpful | communication barrier,"Lost $31, store unreachable, head office unresponsive, language barrier with operator."
Customer service lacked any effort,"Customer service lacked any effortWent to kingsway maccas drive thru and was informed at 2.13am Tuesday that there was a system update meaning we couldnt be served. Asked if girrawheen also would be updating they didnt know and didnt even say anything to help turns out girrawheen does automatically at the same time, girrawheen staff mentions they arent sure about malaga ??",Keti S.,8mo,139,negative,Drive-Thru Experience | Equipment Availability | Staff Behavior,system update downtime | no service available | staff uninformed | late night closure,Drive-thru closed at 2:13am due to system update; staff uninformed and unhelpful.
it was a great sibling bond!,"it was a great sibling bond!This was the first ever time me and my girlfriend went to McDonalds together... I was scared don't get me wrong, if today was the day that i was avoiding i would like it to not be that bad. I shuffled up at the line begging my girlfriend to tell me what she wants, so i can order it for her. Once I stepped up front, about to order, I felt goosebumps on my neck...i was cold...really cold. i quickly went to my girlfriend and gave her my jumper. ''the heater...its off are you okay?'' ''I'm okay sweetie don't worry!'' I w... Read moreent up to the line again and ordered. I was scared my girlfriend had never tried McDonalds I wanted it to be the best thing she has ever tried...she deserves it. ''31'' the employ called out to me looking at me...staring like i was a monkey in a zoo jail. I walked up to the counter and placed my hand on the bag where my food was... i opened the bag scared for what I was about to see... the bag was opened, and my girlfriend looked over into the bag. the burger was great. we had an amazing sibling bond that day! 5/5",Kool bf in Alabama,9mo,140,positive,Food Quality,great burger | amazing sibling bond | first time together | best experience,Customer had a positive first McDonald's visit with girlfriend and praised the burger quality.
Honestly shocking,"Honestly shockingTaste weird, weird texture too.. were very cold.. don't recommend.. felt sick after",fischl4you,9mo,141,negative,Food Quality | Food Temperature,taste weird | weird texture | very cold | felt sick,"Food tasted and felt odd, was cold, and made customer sick."
Ripped off,Ripped offI bought the 24 nugget pack for $9.95 .when i got home their was 22 in pack not 24 i rang McDonalds and they did apologize and said i could come and get the 2 missing nuggets. But to do this it would cost me more in fuel ($2.32) to go back so i didn't go back this has happened before and i wonder if this has happens to other customers,Andy R.,9mo,142,negative,Order Accuracy,missing nuggets | 22 instead of 24 | happened before | extra fuel cost,24-nugget pack contained only 22 nuggets; customer not compensated for correction cost.
Mc long wait Mc hungry Mc no food,Mc long wait Mc hungry Mc no foodWe waited for an hour at Albion Maccas and did not get fed with 4 hungry children and did not get our order. We ended up late for an important event and left without receiving our food.I provided feedback using the official Maccas channels and got told i would hear in 3-4 days. Over a month latter and after weekly calls and being told the Albion team would call me i have still not heard from the company.When I approached the counter about the wait and having no food I was told i can either have part of the ord... Read moreer and wait for the rest or get a refund and leave. As were were already late and could not wait I asked if we could get what was ready and refunded the rest and was told it was one or the other. We left after over an hr in the store with no food and 4 hungry and disappointed children.,Gavin,9mo,143,negative,Service Speed | Order Accuracy | Staff Behavior,one hour wait | no food received | four hungry children | no follow-up,"Customer waited over an hour, never received food, and got no response to complaints afterward."
Ice coffee,Ice coffeeI've been getting my long black here 6 days a week before work. The last month the coffee has been cold/warm at best. I've told them and nothing changes. The same today! Your not suppose to be able to skul a coffee ! I don't think they give a damn. Time to move I think.,John Payne,9mo,144,negative,Food Temperature,cold coffee | month of cold drinks | long black | nothing changes,Coffee consistently served cold despite multiple complaints to staff.
Worst Hamburgers ever,"Worst Hamburgers everMc Donald's at Glen Innes (NSW) provided the worst hamburgers and drinks and chips we have had.Sloppy hamburgers of low quality, cold chips and a terrible hot chocolate.This is our last Hamburger at Mc Donald's",jerry,9mo,145,negative,Food Quality,worst hamburgers | low quality | cold chips | terrible hot chocolate,"Food quality was poor including sloppy burgers, cold chips, and bad hot chocolate."
My burger was empty...... totally just the bun,"My burger was empty...... totally just the bunI visited MacDonalds Bass Hill a few weeks ago to grab dinner on my way home. I ordered a Big Mac Meal ($13.60). When I got home I settled in to have dinner and found an empty Big Mac...... yes empty. All it had was 1 meat patty (see below pictures). I rang the store to and asked to speak with the manager, the young lady that answered said that she was the manager, when I explained my issue she said that she would put me onto the manager....... again I explained my issue and he said that he wou... Read moreld have to make a phone call to the manager......... seriously how many managers are there. Anyway their only solution was for me to drive back and get another meal (14km round trip). I asked for a Macdelivery to deliver another meal, they said no that was impossible. All they could do was put my name in a book and next time I came I could get a free Big Mac........ I rang Macdonalds Head Office and was told that as my order was not done via the app (as I went through the drive thru), they couldn't refund me and I was best to go back to the store. I may have become a little upset at this point and told them that they needed to fix it. The young lady asked for proof of purchase and she would arrange for a voucher to be sent to me. I sent her the information she requested immediately. 4 days later I received another email (still on the same email thread complete with the proof of purchase that I had sent 4 days earlier) asking me for proof of purchase. I pointed out that it was attached from the last email and was still included in this thread. Another 5 days pass and I receive a voucher for $10. Again I replied to the original email thread telling MacDonalds that I was not only disgusted with their store and Head Office service, but was also insulted at the $10 voucher which did not even cover the cost of the meal. About 20 mins later I received another email from MacDonalds telling me that additional vouchers had been put in the mail to me today. Seriously this is Head Office and I fear that they wouldn't know if their butts were on fire. To little to late MacDonalds. I gave the voucher to an older man at the train station who was in need of a meal and am now getting my $13.60 worth in advertising for MacDonalds. Keeps your eyes peels on all the product review sights, I'm dropping this in now. FYI, the burgers are really better at Hungry Jacks.",Deb,9mo,146,negative,Order Accuracy | Staff Behavior,empty Big Mac | one patty only | poor customer service | inadequate compensation,Big Mac was empty with only one patty; store and head office provided inadequate resolution.
Worst experience,"Worst experienceMc Donald’s In manning is the dirtiest restaurant I’ve ever been in .. I visited 10 th April at 6.45 pm and the floor was dirty , tables filthy and rubbish all over the floor . I asked the young girl to get it cleaned and she rolled her eyes at me and the manager was next to her and I said how can you be a manager and let you’re restaurant be so unhygienic. All she said was I’ll get someone to clean it .",Terri,9mo,147,negative,Cleanliness | Staff Behavior,dirtiest restaurant | filthy tables | dirty floor | manager indifference,Restaurant was extremely dirty with filthy floors and tables; manager showed no concern.
Overcharged on App repeatedly - will never use app again,"Overcharged on App repeatedly - will never use app againCustomer service ATROCIOUS. Don’t use the app - offload it and instead pay in cash at the counter. Multiple times now I have been charged the wrong price AND bonus points have not been awarded via the app. Even though McDonalds can see all of this in their own records, I have to forward them screenshots at the time from their own app to prove it? So they can amend and carry out the correct pricing and add bonus points as per their scheme as advertised?! ACCC needs to be involved here.",zurizuri,9mo,148,negative,Price Value,overcharged repeatedly | bonus points not awarded | poor customer service | app issues,Customer repeatedly overcharged on app with bonus points not awarded; customer service unhelpful.
Terrible,TerribleAttended rosebud mcdonalds I waited 20 minutes for 3 meals inside restaurant when I inquired about the length of time I was told the numbers don't mean you will.get your meal.after the proceeding number. It's the order they are paid. Then I was told we are busy. Also staff behind counter dancing and the person making the hamburgers throwing them together no care taken. Line in restaurant long and no one attending to them..menu log driver upset waited 10 minutes for order sitting on counter. Drive through out on road. Staff talking and... Read more yelling at each other I.E where is that mcrispy? Not professional. No manager in sight. The computers not issuing receipts numbers. The toilets disgusting. Tables not clean. Very dissatisfied My husbands burger looked terrible everything falling out over mayonnaise. Chips cold. Terrible service,Jenni S.,9mo,149,negative,Service Speed | Food Quality | Cleanliness | Staff Behavior,20 minute wait | cold chips | unprofessional staff | dirty toilets | messy burger,"Long wait, cold food, filthy conditions, unprofessional staff behavior, and poor order quality."
